timesteps,electricity,heating,dhw
2015-01-01 00:00:00,-0.0046313159,-0.0083363677,-0.0268616322
2015-01-01 01:00:00,-0.0039811389,-0.0071660501,-0.0230906059
2015-01-01 02:00:00,-0.0037691779,-0.0067845202,-0.0218612317
2015-01-01 03:00:00,-0.003735973,-0.0067247513,-0.0216686424
2015-01-01 04:00:00,-0.0038996251,-0.0070193252,-0.0226178255
2015-01-01 05:00:00,-0.004438204,-0.007988767,-0.0257415819
2015-01-01 06:00:00,-0.0057402426,-0.0103324366,-0.0332934075
2015-01-01 07:00:00,-0.0062409359,-0.0112336839,-0.0361974273
2015-01-01 08:00:00,-0.0058673817,-0.0105612869,-0.0340308129
2015-01-01 09:00:00,-0.0056660312,-0.0101988562,-0.0328629807
2015-01-01 10:00:00,-0.0057192086,-0.0102945754,-0.0331714108
2015-01-01 11:00:00,-0.0062725798,-0.011290644,-0.0363809621
2015-01-01 12:00:00,-0.0065517619,-0.0117931718,-0.0380002205
2015-01-01 13:00:00,-0.0064948397,-0.0116907113,-0.0376700704
2015-01-01 14:00:00,-0.0063424225,-0.0114163604,-0.0367860506
2015-01-01 15:00:00,-0.006552511,-0.0117945196,-0.0380045643
2015-01-01 16:00:00,-0.007485303,-0.0134735452,-0.0434147579
2015-01-01 17:00:00,-0.0093515724,-0.0168328305,-0.0542391221
2015-01-01 18:00:00,-0.0103945887,-0.0187102615,-0.0602886195
2015-01-01 19:00:00,-0.0102915422,-0.018524777,-0.0596909458
2015-01-01 20:00:00,-0.0093910195,-0.0169038361,-0.0544679142
2015-01-01 21:00:00,-0.0083841407,-0.0150914528,-0.0486280175
2015-01-01 22:00:00,-0.0074140251,-0.0133452448,-0.0430013436
2015-01-01 23:00:00,-0.0059520168,-0.0107136291,-0.0345216983
2015-01-02 00:00:00,-0.0046383693,-0.0083490655,-0.0269025426
2015-01-02 01:00:00,-0.0039872023,-0.0071769639,-0.0231257726
2015-01-02 02:00:00,-0.0037749183,-0.0067948532,-0.0218945259
2015-01-02 03:00:00,-0.0037416631,-0.0067349932,-0.0217016452
2015-01-02 04:00:00,-0.0039055643,-0.0070300158,-0.0226522725
2015-01-02 05:00:00,-0.0044449633,-0.0080009341,-0.0257807868
2015-01-02 06:00:00,-0.0057489851,-0.0103481736,-0.0333441141
2015-01-02 07:00:00,-0.0062504406,-0.0112507929,-0.0362525552
2015-01-02 08:00:00,-0.0058763182,-0.0105773727,-0.0340826453
2015-01-02 09:00:00,-0.0056746604,-0.0102143897,-0.0329130331
2015-01-02 10:00:00,-0.0057279193,-0.0103102542,-0.0332219305
